host;Trigger
CLAUDEL;"{"jsonrpc":"2.0","result":[{"triggerid":"76824","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25414","description":"{HOSTNAME} is unreachable"},{"triggerid":"100503","description":"Cannot connect on port 445"},{"triggerid":"391847","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336216","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424129","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424865","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"393741","description":"Service Moteur de filtrage de base is not running"},{"triggerid":"450827","description":"Service Service de transfert intelligent en arri\u00e8re-plan is not running"},{"triggerid":"393742","description":"Service Service d\u2019infrastructure des t\u00e2ches en arri\u00e8re-plan is not running"},{"triggerid":"393743","description":"Service Services de chiffrement is not running"},{"triggerid":"393793","description":"Service Traps is not running"},{"triggerid":"393744","description":"Service Lanceur de processus serveur DCOM is not running"},{"triggerid":"393745","description":"Service Service de clich\u00e9 instantan\u00e9 des volumes de d\u00e9duplication des donn\u00e9es is not running"},{"triggerid":"393746","description":"Service Client DHCP is not running"},{"triggerid":"393747","description":"Service Client DNS is not running"},{"triggerid":"393748","description":"Service Service de strat\u00e9gie de diagnostic is not running"},{"triggerid":"393752","description":"Service Syst\u00e8me de fichiers EFS (Encrypting File System) is not running"},{"triggerid":"393753","description":"Service Journal d\u2019\u00e9v\u00e9nements Windows is not running"},{"triggerid":"393754","description":"Service Syst\u00e8me d\u2019\u00e9v\u00e9nement COM+ is not running"},{"triggerid":"393755","description":"Service Service de cache de police Windows is not running"},{"triggerid":"393757","description":"Service Client de strat\u00e9gie de groupe is not running"},{"triggerid":"393758","description":"Service Modules de g\u00e9n\u00e9ration de cl\u00e9s IKE et AuthIP is not running"},{"triggerid":"393759","description":"Service Assistance IP is not running"},{"triggerid":"393760","description":"Service Serveur is not running"},{"triggerid":"393761","description":"Service Station de travail is not running"},{"triggerid":"393762","description":"Service Assistance NetBIOS sur TCP/IP is not running"},{"triggerid":"423132","description":"Service SentinelOne Agent Log Processing Service is not running"},{"triggerid":"393763","description":"Service Gestionnaire de session locale is not running"},{"triggerid":"393764","description":"Service Pare-feu Windows is not running"},{"triggerid":"393765","description":"Service Coordinateur de transactions distribu\u00e9es is not running"},{"triggerid":"393766","description":"Service Netlogon is not running"},{"triggerid":"393767","description":"Service Connaissance des emplacements r\u00e9seau is not running"},{"triggerid":"448333","description":"Service NSClient++ Monitoring Agent is not running"},{"triggerid":"393768","description":"Service Service Interface du magasin r\u00e9seau is not running"},{"triggerid":"393769","description":"Service Alimentation is not running"},{"triggerid":"393770","description":"Service Service de profil utilisateur is not running"},{"triggerid":"393772","description":"Service Mappeur de point de terminaison RPC is not running"},{"triggerid":"393773","description":"Service Appel de proc\u00e9dure distante (RPC) is not running"},{"triggerid":"393792","description":"Service Rubrik Backup Service is not running"},{"triggerid":"393774","description":"Service Gestionnaire de comptes de s\u00e9curit\u00e9 is not running"},{"triggerid":"393775","description":"Service Planificateur de t\u00e2ches is not running"},{"triggerid":"393776","description":"Service Service de notification d\u2019\u00e9v\u00e9nements syst\u00e8me is not running"},{"triggerid":"425601","description":"SentinelAgent service is down"},{"triggerid":"423133","description":"Service SentinelOne Static Service is not running"},{"triggerid":"393777","description":"Service D\u00e9tection mat\u00e9riel noyau is not running"},{"triggerid":"450203","description":"Service Service SNMP is not running"},{"triggerid":"393778","description":"Service Spouleur d\u2019impression is not running"},{"triggerid":"393780","description":"Service Service Broker des \u00e9v\u00e9nements syst\u00e8me is not running"},{"triggerid":"393781","description":"Service Th\u00e8mes is not running"},{"triggerid":"393795","description":"Service Traps Local Analysis Service is not running"},{"triggerid":"393782","description":"Service Client de suivi de lien distribu\u00e9 is not running"},{"triggerid":"393783","description":"Service Service de journalisation des acc\u00e8s utilisateur is not running"},{"triggerid":"393784","description":"Service VeeamVssSupport is not running"},{"triggerid":"393785","description":"Service VMware Alias Manager and Ticket Service is not running"},{"triggerid":"393786","description":"Service VMware Tools is not running"},{"triggerid":"393787","description":"Service VMware Physical Disk Helper Service is not running"},{"triggerid":"393788","description":"Service Gestionnaire des connexions Windows is not running"},{"triggerid":"393789","description":"Service Infrastructure de gestion Windows is not running"},{"triggerid":"393790","description":"Service Gestion \u00e0 distance de Windows (Gestion WSM) is not running"},{"triggerid":"393791","description":"Service Zabbix Agent is not running"},{"triggerid":"53812","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54063","description":"CPU System > 95% in last 15min"},{"triggerid":"392572","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336917","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134860","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95127","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96482","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"450824","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"450825","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"95128","description":"Low disk space left on {HOST.NAME}\\S: (<1GB & <5%)"},{"triggerid":"96483","description":"Less than 5% disk space on {HOST.NAME} in volume S:"},{"triggerid":"95129","description":"Low disk space left on {HOST.NAME}\\T: (<1GB & <5%)"},{"triggerid":"96484","description":"Less than 5% disk space on {HOST.NAME} in volume T:"},{"triggerid":"95130","description":"Low disk space left on {HOST.NAME}\\U: (<1GB & <5%)"},{"triggerid":"96485","description":"Less than 5% disk space on {HOST.NAME} in volume U:"},{"triggerid":"95131","description":"Low disk space left on {HOST.NAME}\\Z: (<1GB & <5%)"},{"triggerid":"96486","description":"Less than 5% disk space on {HOST.NAME} in volume Z:"}],"id":1}"
SRV0482;"{"jsonrpc":"2.0","result":[{"triggerid":"76825","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25415","description":"{HOSTNAME} is unreachable"},{"triggerid":"52601","description":"Service: FTP is not running"},{"triggerid":"391848","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336217","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424130","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424866","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"100505","description":"Service: MySQL is not running"},{"triggerid":"93398","description":"Service: PriceTool is not running"},{"triggerid":"425602","description":"SentinelAgent service is down"},{"triggerid":"53813","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54064","description":"CPU System > 95% in last 15min"},{"triggerid":"392573","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336918","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134861","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"98777","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"98779","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"98778","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"98780","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"}],"id":1}"
EXTSAP001;"{"jsonrpc":"2.0","result":[{"triggerid":"76828","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25418","description":"{HOSTNAME} is unreachable"},{"triggerid":"125868","description":"Telnet: Georgia is down"},{"triggerid":"391849","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336218","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424131","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424867","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"14719","description":"Service: FTP Publishing Service is not running"},{"triggerid":"14720","description":"Service: Georgia SoftWorks UTS is not running"},{"triggerid":"14729","description":"Service: IIS Admin Service is not running"},{"triggerid":"238136","description":"Service Univer$e MNIPRD_WMS00APPW1P_EEP_X is not running"},{"triggerid":"238137","description":"Service Univer$e MNIPRD_WMS00APPW1P_GSI_X is not running"},{"triggerid":"238138","description":"Service Univer$e MNIPRD_WMS00APPW1P_IO_X is not running"},{"triggerid":"238139","description":"Service Univer$e MNIPRD_WMS00APPW1P user administrator is not running"},{"triggerid":"238140","description":"Service Univer$e MNIPRD_WMS00APPW1P user EXTSAP001_bs_Administrator is not running"},{"triggerid":"238141","description":"Service Univer$e MNIPRD_WMS00APPW1P user MNIGROUP_bs_SAMAFWMSPRD is not running"},{"triggerid":"238142","description":"Service Univer$e MNIPRD_WMS00APPW1P user MNIGROUP_bs_SAOINWMSPRD is not running"},{"triggerid":"238143","description":"Service Univer$e MNIPRD_WMS00APPW1P Interactive Desktop is not running"},{"triggerid":"243395","description":"Service Visibroker OSAGENT - SAOINWMSPRD is not running"},{"triggerid":"243396","description":"Service PkManager-SAOINWMSPRD is not running"},{"triggerid":"425603","description":"SentinelAgent service is down"},{"triggerid":"53816","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54067","description":"CPU System > 95% in last 15min"},{"triggerid":"392574","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336919","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134862","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95136","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96491","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95137","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96492","description":"Less than 5% disk space on {HOST.NAME} in volume E:"}],"id":1}"
EXTSAP002;"{"jsonrpc":"2.0","result":[{"triggerid":"76829","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25419","description":"{HOSTNAME} is unreachable"},{"triggerid":"52565","description":"Telnet: Georgia is down"},{"triggerid":"391850","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336219","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424132","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424868","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"14760","description":"Service: FTP Publishing Service is not running"},{"triggerid":"14766","description":"Service: Georgia SoftWorks UTS is not running"},{"triggerid":"14763","description":"Service: IIS Admin Service is not running"},{"triggerid":"243376","description":"Service Univer$e MNIPRD_WMS00APPW2P_EEP_X is not running"},{"triggerid":"243377","description":"Service Univer$e MNIPRD_WMS00APPW2P_GSI_X is not running"},{"triggerid":"243378","description":"Service Univer$e MNIPRD_WMS00APPW2P_IO_X is not running"},{"triggerid":"243379","description":"Service Univer$e MNIPRD_WMS00APPW2P user administrator is not running"},{"triggerid":"243380","description":"Service Univer$e MNIPRD_WMS00APPW2P user MNIGROUP_bs_SADRFWMSPRD is not running"},{"triggerid":"243381","description":"Service Univer$e MNIPRD_WMS00APPW2P Interactive Desktop is not running"},{"triggerid":"243382","description":"Service Visibroker OSAGENT - SADRFWMSPRD is not running"},{"triggerid":"243383","description":"Service PkManager-SADRFWMSPRD is not running"},{"triggerid":"425604","description":"SentinelAgent service is down"},{"triggerid":"53817","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54068","description":"CPU System > 95% in last 15min"},{"triggerid":"392575","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336920","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134863","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95132","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96487","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95133","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96488","description":"Less than 5% disk space on {HOST.NAME} in volume E:"}],"id":1}"
EXTSEI001;"{"jsonrpc":"2.0","result":[{"triggerid":"76830","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25420","description":"{HOSTNAME} is unreachable"},{"triggerid":"391851","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336220","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424133","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424869","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"243599","description":"Service ComLinkEngine...MHE_TOWCS_CARTON@OIN+PRD!7 is not running"},{"triggerid":"243600","description":"Service ComLinkEngine...MHE_TOWCS_CASE@OIN+PRD!7 is not running"},{"triggerid":"243364","description":"Service Univer$e MNIPRD_WMS00EISW1P_EEP_X is not running"},{"triggerid":"243365","description":"Service Univer$e MNIPRD_WMS00EISW1P_GSI_X is not running"},{"triggerid":"243366","description":"Service Univer$e MNIPRD_WMS00EISW1P_IO_X is not running"},{"triggerid":"243367","description":"Service Univer$e MNIPRD_WMS00EISW1P user administrator is not running"},{"triggerid":"243368","description":"Service Univer$e MNIPRD_WMS00EISW1P user EXTSEI001_bs_Administrator is not running"},{"triggerid":"243369","description":"Service Univer$e MNIPRD_WMS00EISW1P user MNIGROUP_bs_SAEIWMSPRD is not running"},{"triggerid":"243370","description":"Service Univer$e MNIPRD_WMS00EISW1P Interactive Desktop is not running"},{"triggerid":"425605","description":"SentinelAgent service is down"},{"triggerid":"127695","description":"Service: UNIJOB_IO  is not running"},{"triggerid":"53818","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54069","description":"CPU System > 95% in last 15min"},{"triggerid":"56223","description":"Link with EXTSAP003 is down"},{"triggerid":"392576","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336921","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134864","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95138","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96493","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95139","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96494","description":"Less than 5% disk space on {HOST.NAME} in volume E:"}],"id":1}"
EXTSEI002;"{"jsonrpc":"2.0","result":[{"triggerid":"243221","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"243223","description":"{HOSTNAME} is unreachable"},{"triggerid":"392245","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336615","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424524","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"425260","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"243262","description":"Service Univer$e MNIPRD_WMS00EISW2P_EEP_X is not running"},{"triggerid":"243263","description":"Service Univer$e MNIPRD_WMS00EISW2P_GSI_X is not running"},{"triggerid":"243264","description":"Service Univer$e MNIPRD_WMS00EISW2P_IO_X is not running"},{"triggerid":"243265","description":"Service Univer$e MNIPRD_WMS00EISW2P user administrator is not running"},{"triggerid":"243266","description":"Service Univer$e MNIPRD_WMS00EISW2P user MNIGROUP_bs_SAEIWMSPRD is not running"},{"triggerid":"243267","description":"Service Univer$e MNIPRD_WMS00EISW2P Interactive Desktop is not running"},{"triggerid":"425996","description":"SentinelAgent service is down"},{"triggerid":"243237","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"243238","description":"CPU System > 95% in last 15min"},{"triggerid":"392970","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"337316","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"243243","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"243268","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"243272","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"243269","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"243273","description":"Less than 5% disk space on {HOST.NAME} in volume E:"}],"id":1}"
EXTSII002;"{"jsonrpc":"2.0","result":[{"triggerid":"76833","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25425","description":"{HOSTNAME} is unreachable"},{"triggerid":"23602","description":"Web access is down"},{"triggerid":"391852","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336221","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424134","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424870","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"315464","description":"Service CLS CRON...WMS_KEYPRD is not running"},{"triggerid":"315467","description":"Service CLS CRON...WMS_MAFPRD is not running"},{"triggerid":"122969","description":"Service CLS CRON...WMS_OINPRD is not running"},{"triggerid":"52561","description":"Service: FTP Publishing Service is not running."},{"triggerid":"52562","description":"Service: HTTP SSL is not running"},{"triggerid":"15102","description":"Service: IIS Admin Service is not running"},{"triggerid":"425606","description":"SentinelAgent service is down"},{"triggerid":"15107","description":"Service: World Wide Web Publishing Service is not running"},{"triggerid":"53821","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54072","description":"CPU System > 95% in last 15min"},{"triggerid":"392577","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336922","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134866","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95140","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96495","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"122773","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"122774","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"122804","description":"WMS Web Access France KO"},{"triggerid":"122805","description":"WMS Web Access Netherlands KO"}],"id":1}"
EXTSII003;"{"jsonrpc":"2.0","result":[{"triggerid":"76834","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25426","description":"{HOSTNAME} is unreachable"},{"triggerid":"23603","description":"Web access is down"},{"triggerid":"391853","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336222","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424135","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424871","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"122971","description":"Service CLS CRON...WMS_OINPRD is not running"},{"triggerid":"23567","description":"Service: FTP Publishing Service is not running"},{"triggerid":"23564","description":"Service: HTTP SSL is not running"},{"triggerid":"15139","description":"Service: IIS Admin Service is not running"},{"triggerid":"425607","description":"SentinelAgent service is down"},{"triggerid":"15138","description":"Service: World Wide Web Publishing Service is not running"},{"triggerid":"53822","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54073","description":"CPU System > 95% in last 15min"},{"triggerid":"303355","description":"No files in [\\\\Extsii003\\FTPRoot\\DRE] since last 10min"},{"triggerid":"392578","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336923","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134867","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95142","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96497","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95143","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96498","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"122811","description":"WMS Web Access France KO"},{"triggerid":"122806","description":"WMS Web Access Netherlands KO"}],"id":1}"
EXTSII004;"{"jsonrpc":"2.0","result":[{"triggerid":"76835","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25427","description":"{HOSTNAME} is unreachable"},{"triggerid":"23604","description":"Web access is down"},{"triggerid":"391854","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336223","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424136","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424872","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"122973","description":"Service CLS CRON...WMS_OINPRD is not running"},{"triggerid":"56133","description":"Service: FTP Publishing Service is not running"},{"triggerid":"52563","description":"Service: HTTP SSL is not running"},{"triggerid":"15181","description":"Service: IIS Admin Service is not running"},{"triggerid":"425608","description":"SentinelAgent service is down"},{"triggerid":"15176","description":"Service: World Wide Web Publishing Service is not running"},{"triggerid":"53823","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54074","description":"CPU System > 95% in last 15min"},{"triggerid":"392579","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336924","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134868","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95151","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96499","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95152","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96500","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"122807","description":"WMS Web Access France KO"},{"triggerid":"122808","description":"WMS Web Access Netherlands KO"}],"id":1}"
EXTSII006;"{"jsonrpc":"2.0","result":[{"triggerid":"76837","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25429","description":"{HOSTNAME} is unreachable"},{"triggerid":"23605","description":"Web access is down"},{"triggerid":"391855","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336224","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424137","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424873","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"122975","description":"Service CLS CRON...WMS_OINPRD is not running"},{"triggerid":"56225","description":"Service: FTP Publishing Service is not running"},{"triggerid":"52564","description":"Service: HTTP SSL is not running"},{"triggerid":"15258","description":"Service: IIS Admin Service is not running"},{"triggerid":"425609","description":"SentinelAgent service is down"},{"triggerid":"15259","description":"Service: World Wide Web Publishing Service is not running"},{"triggerid":"53825","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54076","description":"CPU System > 95% in last 15min"},{"triggerid":"392580","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336925","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134869","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95157","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96512","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95158","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96513","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"122810","description":"WMS Web Access France KO"},{"triggerid":"122809","description":"WMS Web Access Netherlands KO"}],"id":1}"
